ID;DICTIONARY_TYPE_ID;TYPE;KEY;VALUE;ACTIVE;DISPLAY_ORDER;DESCRIPTION
"100";1;"INTERNAL_ROLE";"ADMIN";ADMIN;true;0;null
"200";2;"DOC_TEST";"FIRST";"First value";true;0;null
"300";2;"DOC_TEST";"SECOND";"Second value";true;1;null
"400";2;"DOC_TEST";"THIRD";"Third value";true;2;null
"500";2;"DOC_TEST";"FOURTH";"Fourth value";true;3;null
"600";3;"COUNTRY";"GERMANY";"Germany";true;0;null
"700";3;"COUNTRY";"UK";"United Kingdom";true;1;null
"800";3;"COUNTRY";"RUSSIA";"Russia";true;2;null
"900";4;"LANGUAGE";"GERMAN";"German";true;0;null
"1000";4;"LANGUAGE";"ENGLISH";"English";true;6;null
"1100";4;"LANGUAGE";"RUSSIAN";"Russian";true;9;null
